Place Name,Address,Rating,Total Ratings
Petra and the Beast,"601 N Haskell Ave., Dallas, TX 75246, United States",4.7,223
Y.O. Ranch Steakhouse,"702 Ross Ave, Dallas, TX 75202, United States",4.6,3107
CBD Provisions,"1530 Main St STE 100, Dallas, TX 75201, United States",4.4,1153
Gemma,"2323 N Henderson Ave #109, Dallas, TX 75206, United States",4.7,619
Al Biernat's,"4217 Oak Lawn Ave, Dallas, TX 75219, United States",4.7,1680
Meso Maya Comida y Copas,"1611 McKinney Ave, Dallas, TX 75202, United States",4.5,3831
Texas Spice,"555 S Lamar St, Dallas, TX 75202, United States",4.3,462
Town Hearth,"1617 Market Center Blvd, Dallas, TX 75207, United States",4.6,1004
North Italia,"2301 N Akard St Suite 280, Dallas, TX 75201, United States",4.4,669
The Capital Grille,"500 Crescent Ct, Dallas, TX 75201, United States",4.6,1235
Yardbird Table & Bar,"2121 N Pearl St St 170, Dallas, TX 75201, United States",4.2,1039
Lucia,"287 N Bishop Ave, Dallas, TX 75208, United States",4.7,454
Knife Dallas,"5300 E Mockingbird Ln, Dallas, TX 75206, United States",4.5,930
Toulouse,"3314 Knox St, Dallas, TX 75205, United States",4.5,784
Ocean Prime,"2101 Cedar Springs Rd #150, Dallas, TX 75201, United States",4.7,1404
The Rustic,"3656 Howell St, Dallas, TX 75204, United States",4.4,4109
Uchi,"2817 Maple Ave, Dallas, TX 75201, United States",4.7,1685
Fearing's Restaurant,"2121 McKinney Ave, Dallas, TX 75201, United States",4.6,991
Mercat Bistro,"2550 Harry Hines Blvd, Dallas, TX 75201, United States",4.5,652
The Mansion Restaurant,"2821 Turtle Creek Blvd, Dallas, TX 75219, United States",4.6,722
